,win_amt
1424,961229.23
1425,639412.88
1426,418691.5
1427,797673.48
1428,1990001.9
1429,772050.5
1430,534995.0
1431,772020.0
1432,398912.75
1433,1208009.0
1434,354604.5
1435,717548.8
1436,1042517.33
1437,2771537.77
1438,1227883.95
1439,5662048.0
1440,799980.0
1441,951385.0
1442,230477520.5
1443,45888888.82
1444,39748230.89
1445,27611673.86
1446,4231471.53
1447,11998398.69
1448,107737.9
1449,12292866.28
1450,2791368.67
1451,14842182.97
1452,11990027.91
1453,9980994.92
1454,224792.0
1455,9818478.75
1456,14962668.47
1457,3476586.21
1458,11432222.08
1459,1331101.99
1460,877536.57
1461,2093680.0
1462,2877641.2
1463,1744338.76
1464,3013760.0
1465,654890.0
1466,632045.25
1467,1499731.07
1468,1573309.64
1469,1599661.93
1470,7552754.4
1471,965542.25
1472,1399791.05
1473,6555440.96
1474,1204986.39
1475,2743512.99
1476,2961890.31
1477,1213542.0
1478,4500317.86
1479,1988661.84
1480,4475438.0
1481,1495000.0
1482,5522922.11
1483,4549397.66
1484,2474193.46
1485,1141382.1
1486,11461243.2
1487,7444233.25
1488,6253995.31
1489,10847613.32
1490,69910317.29
1491,27907948.34
1492,21833190.16
1493,40398632.3
1494,17599700.01
1495,18706597.23
1496,13340741.71
1497,2105750.3
1498,192966.41
1499,8984216.45
1500,8149846.6
1501,6427095.58
1502,10787028.55
1503,7362618.04
1504,394173.0
1505,9147321.5
1506,8257306.23
1507,7991425.56
1508,1932676.56
1509,4527134.12
1510,1763518.63
1511,6992340.39
1512,1074079.5
1513,356092.0
1514,7654069.29
1515,584116.65
1516,14655685.45
1517,6543322.67
1518,8342120.02
1519,706119.21
1520,1395463.51
1521,1903535.69
1522,1087296.75
1523,3230499.22
1524,1520495.77
1525,496320.36
1526,8287389.92
1527,1834284.72
1528,906208.75
1529,3381084.97
1530,37840877.84
1531,203812.77
1532,341287.96
1533,8831585.37
1534,2881535.44
1535,8319407.2
1536,934493.5
1537,7493681.15
1538,7087728.06
1539,1175289.0
1540,28248453.66
1541,476631.6
1542,1515689.4
1543,806296.61
1544,4059393.25
1545,418248.0
1546,1698761.0
1547,528709.44
1548,377747.5
1549,742994.25
1550,799152.32
1551,344750.0
1552,2477766.49
1553,400142.0
1554,1881428.0
1555,518111.7
1556,608347.0
1557,299561.0
1558,178383491.7
1559,73437885.7
1560,40124534.36
1561,31528539.2
1562,37255989.39
1563,43621757.47
1564,24159580.67
1565,3463806.62
1566,410493.11
1567,1839667.79
1568,399625.73
1569,783134.69
1570,253519.42
1571,2692128.55
1572,2896894.25
1573,378300.3
1574,199994.37
1575,2282821.5
1576,6167909.34
1577,533772.43
1578,549261.6
1579,958012.88
1580,777557.0
1581,388447.0
1582,1518766.78
1583,524560.0
1584,6772231.89
1585,5440851.66
1586,1723480.0
1587,1276034.0
1588,259711.73
1589,4772337.96
1590,1147696.0
1591,4236890.68
1592,14458790.48
1593,5687629.0
1594,810416.15
1595,5798125.91
1596,6294092.23
1597,4552329.65
1598,393161.8
1599,412646.9
1600,3087010.92
1601,184200.6
1602,585213.55
1603,15083451.78
1604,128399059.9
1605,118322898.2
1606,18950219.53
1607,20119919.3
1608,13229156.43
1609,17126620.08
1610,11187471.33
1611,23618552.64
1612,11208278.55
1613,11999321.62
1614,2573741.95
1615,1742751.49
1616,2938130.95
1617,2101671.85
1618,735009.95
1619,1137292.26
1620,3781271.7
1621,2349138.87
1622,2257957.0
1623,9213869.7
1624,6748948.6
1625,1161999.49
1626,2098141.37
1627,1620249.39
1628,1738187.35
1629,2711896.8
1630,2270623.45
1631,2084719.95
1632,6779028.06
1633,2482189.99
1634,2718727.83
1635,542994.35
1636,4044598.86
1637,516000.0
1638,7818547.17
1639,2041002.81
1640,571595.16
1641,2792589.05
1642,7028104.55
1643,2108966.71
1644,4875447.64
1645,4349076.68
1646,516228.1
1647,435495.9
1648,3587845.3
1649,1999584.5
1650,1642121.95
1651,1988429.78
1652,167003.8
1653,361037.7
1654,1020198.17
1655,1963009.89
1656,1306717.75
1657,715003.25
1658,604622.5
1659,439827.71
1660,1043710.33
1661,798329.86
1662,420940.6
1663,298470.0
1664,12737490.0
